"V160001","V161126","V161196","V161342","V162034a","V162148"
301101,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301105,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301108,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
301116,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
301119,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301121,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
301122,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
301125,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301130,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
301131,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301135,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
301139,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301141,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
301143,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
301144,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301158,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
301160,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301166,"3. Slightly liberal","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
301167,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
301173,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
